Condition,PropertyType,PropertySubType,Bedrooms,Bathrooms,AreaNet,AreaGross,Parking,Latitude,Longitude,Parish,Price,PricePerBedroom,BathroomToBedroom,AreaUtilizationRatio,PropertyCategory
For Refurbishment,Homes,Apartment,2,1,100.0,200.0,0,38.7304,-9.1395,Arroios,270000,135000.0,0.5,0.5,Homes_Apartment
For Refurbishment,Homes,Apartment,2,1,93.0,186.0,0,38.7297,-9.1397,Arroios,270000,135000.0,0.5,0.5,Homes_Apartment
For Refurbishment,Homes,Apartment,4,2,179.0,358.0,0,38.7265,-9.1443,Santo Antonio,630000,157500.0,0.5,0.5,Homes_Apartment
For Refurbishment,Homes,Apartment,2,2,51.0,102.0,0,38.7126,-9.1265,Santa Maria Maior,235000,117500.0,1.0,0.5,Homes_Apartment
For Refurbishment,Homes,Apartment,5,1,135.0,270.0,0,38.7365,-9.1417,Avenidas Novas,480000,96000.0,0.2,0.5,Homes_Apartment
For Refurbishment,Homes,Apartment,1,1,54.0,108.0,0,38.7227,-9.1456,Santo Antonio,240000,240000.0,1.0,0.5,Homes_Apartment
For Refurbishment,Homes,Apartment,3,2,113.0,226.0,0,38.7589,-9.1695,Lumiar,450000,150000.0,0.6666666666666666,0.5,Homes_Apartment
For Refurbishment,Homes,Apartment,2,1,46.0,92.0,0,38.7281,-9.1409,Arroios,205000,102500.0,0.5,0.5,Homes_Apartment
For Refurbishment,Homes,Apartment,2,1,66.0,132.0,0,38.746,-9.1769,Benfica,196500,98250.0,0.5,0.5,Homes_Apartment
For Refurbishment,Homes,Apartment,3,1,75.0,150.0,0,38.7177,-9.1341,Santa Maria Maior,245000,81666.66666666667,0.3333333333333333,0.5,Homes_Apartment
For Refurbishment,Single Habitation,Townhouse Dwelling,2,1,90.0,180.0,0,38.7694,-9.1138,Olivais,486000,243000.0,0.5,0.5,Single Habitation_Townhouse Dwelling
For Refurbishment,Single Habitation,Dwelling,4,3,121.0,242.0,0,38.703,-9.2044,Belem,375000,93750.0,0.75,0.5,Single Habitation_Dwelling
For Refurbishment,Single Habitation,Townhouse Dwelling,2,2,70.0,140.0,0,38.7265,-9.168,Campolide,850000,425000.0,1.0,0.5,Single Habitation_Townhouse Dwelling
